x_i,r_i
434142073,0.257481
-99182814,-0.058823
-1263465259,-0.749337
-371212202,-0.220159
787955409,0.467321
1409074794,0.835696
578429037,0.343055
260726366,0.154632
279586985,0.165818
-715770574,-0.424510
176354949,0.104593
-1040830490,-0.617297
26677505,0.015822
151890810,0.090084
431335197,0.255817
647019758,0.383735
-65384487,-0.038778
1666543938,0.988396
-451491275,-0.267771
1354960246,0.803601
354860337,0.210461
1399803530,0.830197
-1386383411,-0.822238
351906174,0.208709
1084076297,0.642945
158632786,0.094082
1544243173,0.915861
388798726,0.230589
623313761,0.369676
1235087258,0.732507
453268093,0.268825
-882416626,-0.523345
109644857,0.065028
-343162014,-0.203523
698822549,0.414458
1599148694,0.948425
906011537,0.537338
-99758422,-0.059165
-328927443,-0.195081
1496591518,0.887600
169419113,0.100479
-286566030,-0.169957
-1361493691,-0.807476
-687424986,-0.407699
-343646783,-0.203810
-1003803718,-0.595337
1457661405,0.864511
250757934,0.148720
-126701415,-0.075144
-698643070,-0.414352
1572355317,0.932534
64737206,0.038394
-1133841935,-0.672460
1138378442,0.675151
-209281395,-0.124121
-588519490,-0.349040
-73238071,-0.043436
-199450734,-0.118290
-620567899,-0.368047
-1684630714,-0.999123
-304799711,-0.180771
376922074,0.223545
-276487875,-0.163980
253975118,0.150628
245185785,0.145415
-202977374,-0.120382
203420245,0.120645
-1246411562,-0.739223
-1203001263,-0.713477
248952554,0.147649
137915885,0.081795
1154669278,0.684812
-415253975,-0.246279
904551858,0.536473
1344154629,0.797193
-1170330,-0.000694
616516225,0.365644
-146502662,-0.086888
-1214036835,-0.720022
-1368610450,-0.811697
1095676249,0.649825
105875906,0.062793
95702965,0.056760
858747382,0.509307
227067569,0.134669
-410706166,-0.243582
-34577075,-0.020507
186320382,0.110503
-831069559,-0.492892
-633957422,-0.375988
1354833253,0.803526
-299930234,-0.177883
-957817631,-0.568063
-95113190,-0.056410
-864907267,-0.512960
-163565426,-0.097008
1632439737,0.968169
657964002,0.390226
-137669355,-0.081649
429676310,0.254833
-687321839,-0.407638
434601770,0.257754
-39549779,-0.023456
-185177826,-0.109825
-1605504279,-0.952194
-782024206,-0.463804
721532613,0.427927
-541299034,-0.321034
267900737,0.158887
-336999366,-0.199868
816382813,0.484181
269479854,0.159823
-1621208551,-0.961508
893478402,0.529905
1538982517,0.912741
936244278,0.555269
-584041615,-0.346384
-377497782,-0.223887
1204472845,0.714350
9897022,0.005870
21687113,0.012862
-455972846,-0.270429
-269092827,-0.159594
1213671366,0.719805
-1106101855,-0.656008
-406462374,-0.241065
1501339325,0.890416
-548542770,-0.325330
-288850311,-0.171312
-728856542,-0.432271
1633245141,0.968647
211175766,0.125244
174494161,0.103489
1573922666,0.933464
1381579629,0.819389
-1615931554,-0.958378
-1191982167,-0.706942
786826802,0.466652
464773509,0.275648
1459722470,0.865734
-438434815,-0.260027
-349508486,-0.207287
1419993629,0.842171
-1158933010,-0.687341
181506777,0.107648
1556161090,0.922930
1383879989,0.820753
-1194895754,-0.708670
-1164881871,-0.690869
-1420136566,-0.842256
382063309,0.226595
1626333822,0.964548
-36793335,-0.021821
-1627382702,-0.965170
22115045,0.013116
130925062,0.077649
-8309151,-0.004928
953872538,0.565724
-732738179,-0.434573
668761358,0.396630
-1245737159,-0.738823
41628770,0.024689
670694037,0.397776
850598806,0.504474
504788625,0.299381
-534728790,-0.317138
1325830701,0.786325
118236574,0.070124
39928937,0.023681
948087410,0.562293
-194728891,-0.115490
-431119578,-0.255689
597807297,0.354548
513273018,0.304412
1405247709,0.833426
-1106174930,-0.656051
22573977,0.013388
140426882,0.083285
-114800651,-0.068086
95131830,0.056421
400295153,0.237407
-232462390,-0.137869
756119949,0.448440
-55205698,-0.032741
-1322132279,-0.784132
38776978,0.022998
-1526493787,-0.905335
1418935366,0.841544
-102378719,-0.060719
-240918310,-0.142884
682007613,0.404486
-788794546,-0.467819
-563986439,-0.334490
-401751902,-0.238271
945634645,0.560838
595774934,0.353343
474479441,0.281405
157882346,0.093637
-388200211,-0.230234
-56732706,-0.033647
4611369,0.002735
1539911346,0.913292
1673795333,0.992696
607161702,0.360096
-663536255,-0.393531
54578426,0.032369
-1128923235,-0.669543
1343160942,0.796603
228783193,0.135687
-1339409726,-0.794379
-907093323,-0.537980
-385172746,-0.228439
767580593,0.455237
275726346,0.163528
-304234419,-0.180436
452476670,0.268355
-1205549687,-0.714989
751903954,0.445940
1153189989,0.683935
-256403834,-0.152068
-487583775,-0.289177
-1590644454,-0.943381
-274298115,-0.162681
-591640178,-0.350891
-102723399,-0.060923
-1353306910,-0.802621
-1070391275,-0.634829
1595236374,0.946104
-383049711,-0.227180
-155623382,-0.092297
-217374803,-0.128921
1618305566,0.959786
458429929,0.271886
-238447886,-0.141419
-637394491,-0.378027
-541435994,-0.321115
-117290431,-0.069563
146115898,0.086659
1638809181,0.971947
1442171054,0.855324
450958617,0.267455
-214722814,-0.127348
-687862411,-0.407958
-629883594,-0.373572
342773361,0.203292
-397838262,-0.235950
-287660275,-0.170606
-54018754,-0.032037
-849916343,-0.504069
1268021522,0.752040
-13917403,-0.008254
-1488269114,-0.882664
-254808927,-0.151122
949051738,0.562865
1182996925,0.701613
-1188200498,-0.704699
-504725127,-0.299343
400849186,0.237736
28025557,0.016621
-17116586,-0.010152
-680532783,-0.403611
-1348368278,-0.799692
440555117,0.261285
-752791458,-0.446466
817327785,0.484742
378787634,0.224652
30329989,0.017988
-1015348762,-0.602184
813627137,0.482547
75902330,0.045016
383458589,0.227422
-1428853010,-0.847426
415421913,0.246379
1510658882,0.895943
285990965,0.169616
-277241994,-0.164427
-233446607,-0.138453
683905162,0.405611
-994562611,-0.589856
1446255486,0.857747
133789449,0.079348
1328131410,0.787690
562142693,0.333396
-161682682,-0.095891
456485217,0.270733
-514461286,-0.305117
-278116227,-0.164945
-2124274,-0.001260
-80735687,-0.047883
709404002,0.420734
-772356715,-0.458070
-1413274474,-0.838186
-909751919,-0.539557
1488031914,0.882524
-718131923,-0.425910
53616286,0.031799
245589865,0.145655
506985330,0.300683
1683625797,0.998527
562203686,0.333432
-459717695,-0.272650
-859656774,-0.509846
-1377002531,-0.816674
910030126,0.539722
-436717927,-0.259009
-1195380862,-0.708958
1405244149,0.833424
-1339465290,-0.794411
-253290511,-0.150222
1668122826,0.989332
-64596851,-0.038311
55400894,0.032857
1228619721,0.728671
-777993838,-0.461413
-1452394331,-0.861388
-377625274,-0.223962
1439729185,0.853876
-653368870,-0.387501
613553981,0.363887
1617071182,0.959054
-1436466439,-0.851941
-283987550,-0.168428
105154645,0.062365
75388630,0.044712
1079922257,0.640481
209287402,0.124124
982164461,0.582503
448253150,0.265850
1195835433,0.709227
-1681522766,-0.997279
-187432443,-0.111163
971044454,0.575908
-721342335,-0.427814
125505018,0.074435
-393037155,-0.233103
801069934,0.475099
137443161,0.081515
241363906,0.143148
-1546426955,-0.917157
848561142,0.503266
118615217,0.070348
-917020406,-0.543867
232069965,0.137636
-702318594,-0.416532
1229760649,0.729348
973714898,0.577492
-132025499,-0.078302
-12730490,-0.007550
-1018084639,-0.603807
231387674,0.137232
144999933,0.085997
1522950798,0.903233
-1666313287,-0.988259
72523234,0.043012
-322639083,-0.191351
1262250262,0.748617
-253234415,-0.150189
1049182506,0.622250
142326445,0.084411
-188589282,-0.111849
-137217815,-0.081381
1640883186,0.973177
-85160763,-0.050507
-1507442522,-0.894036
31898945,0.018919
-1279308230,-0.758733
-880969379,-0.522486
459907502,0.272762
412997657,0.244941
1560528898,0.925520
-152102795,-0.090209
1170834998,0.694400
692478321,0.410696
-141485750,-0.083913
1131708941,0.671195
818312766,0.485326
-421678775,-0.250090
787778066,0.467216
-1622454747,-0.962247
833386950,0.494266
-437805151,-0.259654
572187226,0.339353
936613053,0.555487
421206222,0.249809
-3767175,-0.002234
-367498718,-0.217957
-676860459,-0.401433
-1215472810,-0.720874
-980207663,-0.581343
1542515050,0.914836
498430317,0.295610
-589182626,-0.349433
343216553,0.203555
-1419794382,-0.842053
1330886533,0.789324
719481574,0.426711
-117839359,-0.069888
220163706,0.130575
752670749,0.446395
-137574418,-0.081593
-252831527,-0.149950
1681032258,0.996988
-205165771,-0.121680
-1470502794,-0.872127
-1632340431,-0.968110
1554690442,0.922057
-499873587,-0.296466
499537022,0.296266
-1080141303,-0.640611
-1678688686,-0.995598
849070309,0.503568
-874900474,-0.518887
415472737,0.246409
546239130,0.323964
1338983293,0.794126
-1267683570,-0.751839
685413689,0.406506
-923527582,-0.547727
698192021,0.414084
-1065276010,-0.631795
110107793,0.065303
-71274070,-0.042271
-345520083,-0.204921
791025566,0.469142
736070249,0.436549
-1358214030,-0.805531
-516324795,-0.306222
472216870,0.280063
-395659583,-0.234658
749432506,0.444474
-203368739,-0.120614
326684206,0.193750
139590041,0.082788
-805363582,-0.477646
277241333,0.164427
190130870,0.112763
-234083599,-0.138831
204745162,0.121430
-322621555,-0.191341
-197979458,-0.117418
1304339145,0.773579
504353426,0.299122
1011016613,0.599615
-1235841466,-0.732954
-23774943,-0.014100
1077338842,0.638949
-1580756419,-0.937517
81208654,0.048163
219825657,0.130374
74818210,0.044373
-254422187,-0.150893
522706902,0.310008
1141809489,0.677186
1292360170,0.766474
1489157869,0.883191
52381150,0.031066
910271273,0.539865
-127872846,-0.075839
-154276603,-0.091499
452943718,0.268632
-664198271,-0.393923
-378319110,-0.224374
-1078364771,-0.639558
-1224887186,-0.726457
561609305,0.333080
-755393342,-0.448009
425849013,0.252563
223038710,0.132280
175996849,0.104380
1262322186,0.748659
165049933,0.097888
1159508222,0.687682
1466862473,0.869968
-698333486,-0.414168
384867941,0.228258
733079686,0.434776
235697633,0.139788
799191834,0.473986
-991133443,-0.587822
-1470202994,-0.871950
833984185,0.494620
-1641214238,-0.973373
-134171115,-0.079574
-569282026,-0.337630
465487377,0.276072
995566122,0.590451
-109685331,-0.065052
299717662,0.177757
-87335959,-0.051797
292566258,0.173516
-574556219,-0.340758
-1560270426,-0.925367
-89837503,-0.053281
1258753850,0.746543
-57232291,-0.033943
-982811986,-0.582887
-1617650919,-0.959398
414316802,0.245723
419963765,0.249073
-1504948426,-0.892556
263746673,0.156423
634829386,0.376505
-48734963,-0.028904
118697790,0.070397
199103561,0.118085
-655189230,-0.388580
1582627109,0.938626
561783494,0.333183
383341217,0.227352
-530422950,-0.314584
23990205,0.014228
144093646,0.085459
-346257543,-0.205359
-290825438,-0.172483
-1311885099,-0.778054
-1077025706,-0.638764
626035409,0.371290
-801224086,-0.475191
959614061,0.569129
166740574,0.098891
279753897,0.165917
1632205106,0.968030
-146627963,-0.086962
-835202074,-0.495343
-858858239,-0.509373
-587812998,-0.348621
1588106013,0.941876
-1177411346,-0.698300
458447833,0.271897
-751291070,-0.445576
355006005,0.210547
-253218442,-0.150179
409798961,0.243044
-208678262,-0.123763
280683469,0.166468
-190411394,-0.112929
-969065207,-0.574734
1574358866,0.933722
-98569243,-0.058460
289750278,0.171845
-424947871,-0.252029
1309012890,0.776351
150748797,0.089406
294635534,0.174743
197072953,0.116880
-578975902,-0.343380
871259029,0.516727
1475163798,0.874892
443805585,0.263213
114119338,0.067682
816276269,0.484118
191369374,0.113498
-678056599,-0.402143
318545266,0.188923
1048767813,0.622004
-1263116762,-0.749131
-694801983,-0.412074
-120442950,-0.071432
1402933725,0.832053
188852014,0.112005
174439577,0.103457
-316911230,-0.187954
-1342936843,-0.796470
-114363466,-0.067827
365641201,0.216855
-789001526,-0.467942
-1242690931,-0.737016
409390014,0.242801
1371276745,0.813278
144499602,0.085700
-1199468891,-0.711382
-199411898,-0.118267
238283809,0.141322
-1524800550,-0.904330
709299517,0.420672
970571342,0.575627
-1660073735,-0.984558
934712226,0.554360
412163669,0.244446
-1551931178,-0.920421
928576593,0.550721
-543933718,-0.322597
-586884627,-0.348070
-313213218,-0.185761
473318953,0.280716
-1189502542,-0.705471
70375429,0.041738
-1022637978,-0.606507
-114616703,-0.067977
950636538,0.563805
271200413,0.160844
-540406418,-0.320505
-1367622311,-0.811111
1424903618,0.845083
-1524991051,-0.904443
1110480374,0.658605
1258492593,0.746388
-1683905782,-0.998693
-43921075,-0.026049
-563877378,-0.334425
-158699895,-0.094122
-1646995502,-0.976802
-1029060251,-0.610316
-65793658,-0.039021
622962913,0.369467
-281496550,-0.166950
134118397,0.079543
1409586318,0.835999
-260630087,-0.154575
48594914,0.028821
216432917,0.128362
1083472662,0.642587
942643473,0.559064
-459078870,-0.272271
-260378451,-0.154426
1044794654,0.619648
364805865,0.216359
305169906,0.180990
721380037,0.427837
-263712090,-0.156403
1631429441,0.967570
-1123233734,-0.666169
519696221,0.308222
1417368494,0.840614
-1387962855,-0.823174
-71423486,-0.042360
1061891701,0.629788
-235071434,-0.139416
1581549425,0.937987
-1340449974,-0.794995
-356108275,-0.211201
-1574049730,-0.933539
-1118275767,-0.663228
-997282798,-0.591470
-716659675,-0.425037
356109254,0.211202
1638204833,0.971588
493347930,0.292595
1364363965,0.809178
-199210290,-0.118148
-357791111,-0.212199
-182825950,-0.108431
-417430571,-0.247570
3960150,0.002349
128441809,0.076176
-1215714454,-0.721017
364488557,0.216171
986495838,0.585072
-102869079,-0.061010
298928690,0.177289
-249852539,-0.148183
-671400730,-0.398195
83742721,0.049666
-1223954310,-0.725904
1564364317,0.927795
392526318,0.232800
83009241,0.049231
-358881726,-0.212846
1362526517,0.808089
-349930890,-0.207537
-490759119,-0.291060
779285386,0.462179
189480653,0.112377
106219134,0.062997
-1495916535,-0.887200
-572891054,-0.339771
185474789,0.110002
-409049594,-0.242600
-538049951,-0.319107
-1564805990,-0.928057
-957138563,-0.567661
1455218958,0.863063
794663737,0.471300
-1369114526,-0.811996
-186046827,-0.110341
1577533334,0.935605
82952849,0.049198
-1445448790,-0.857268
-495911379,-0.294116
-159905378,-0.094837
960876649,0.569878
-1307840910,-0.775656
263608389,0.156341
162875174,0.096598
379296961,0.224954
733409466,0.434971
371674333,0.220433
-568819666,-0.337356
699629465,0.414937
-1357413758,-0.805056
386692085,0.229340
11975862,0.007103
-1188802319,-0.705056
-1287951414,-0.763860
-341777011,-0.202701
1265140926,0.750331
196307145,0.116426
776467602,0.460508
220871077,0.130994
-137240506,-0.081395
153919265,0.091287
214033626,0.126939
-1525643203,-0.904830
1323980622,0.785228
-860206087,-0.510172
1280672930,0.759543
116812117,0.069279
1183117782,0.701685
-172144815,-0.102096
371104746,0.220095
760280301,0.450908
307771358,0.182533
-601560791,-0.356774
-1670352206,-0.990654
1686094597,0.999991
-863620762,-0.512197
851904897,0.505249
194892026,0.115587
-77272163,-0.045829
44328558,0.026290
1496842329,0.887749
1111555778,0.659243
-1283651915,-0.761310
-373039370,-0.221243
1310893489,0.777466
520340490,0.308604
687287373,0.407617
1601774334,0.949982
1168134537,0.692798
-177772334,-0.105433
-1647512475,-0.977108
-547079546,-0.324463
-577709087,-0.342628
-326322918,-0.193536
375027453,0.222422
121154958,0.071855
-302867271,-0.179625
-151260958,-0.089710
502680597,0.298130
-1236958186,-0.733616
-189109231,-0.112157
-1536367574,-0.911190
-1375106131,-0.815549
628966942,0.373028
-282353175,-0.167458
-166799630,-0.098926
145214917,0.086124
-1568801882,-0.930427
-818932159,-0.485693
173052218,0.102634
1571236445,0.931871
1444490414,0.856700
430973209,0.255602
-1599579390,-0.948680
934820213,0.554424
584835382,0.346855
854235761,0.506631
-1680081846,-0.996425
-251784435,-0.149329
1578541374,0.936203
-892544439,-0.529351
-464995054,-0.275780
1202081573,0.712932
-387615546,-0.229887
-397756255,-0.235902
791373146,0.469348
352388541,0.208995
-1665670194,-0.987877
-734622343,-0.435691
65551650,0.038877
697880277,0.413900
-19335594,-0.011468
-65457967,-0.038822
1146293354,0.679845
-1228225939,-0.728438
813118558,0.482245
1107950249,0.657104
-1334371534,-0.791390
-1461815163,-0.866975
741123558,0.439546
-922303743,-0.547001
-706793094,-0.419186
69077277,0.040968
-192490770,-0.114163
206299609,0.122352
-1537370302,-0.911785
1634602037,0.969451
621724534,0.368733
170667825,0.101220
-61598582,-0.036533
652581325,0.387034
-682557570,-0.404812
-890698999,-0.528257
209449298,0.124220
-1293530651,-0.767169
-882536698,-0.523416
-91605663,-0.054330
1353577882,0.802781
1647588477,0.977153
1232599566,0.731031
-281665991,-0.167051
229271906,0.135977
621670805,0.368701
944720022,0.560296
789157265,0.468034
-1436478294,-0.851948
-1060857555,-0.629175
-715783522,-0.424518
-672140439,-0.398634
-1145487502,-0.679367
-111951035,-0.066396
-459132890,-0.272303
-1191505983,-0.706660
240759226,0.142790
91850717,0.054475
134043950,0.079499
825967257,0.489866
1282454402,0.760599
894336757,0.530414
267158966,0.158447
907502577,0.538223
1434193098,0.850593
1633534093,0.968818
-642236994,-0.380899
-47920183,-0.028421
-636418670,-0.377448
-1019419483,-0.604598
343181638,0.203535
587158049,0.348232
-1557895718,-0.923958
908329789,0.538713
-192352178,-0.114080
698437369,0.414230
441611682,0.261912
-234507179,-0.139082
-96961834,-0.057506
-63202735,-0.037484
-1389953814,-0.824355
-5828627,-0.003457
296333534,0.175750
1485671465,0.881124
-781892686,-0.463726
750235141,0.444950
-831612314,-0.493213
-155386751,-0.092157
718279162,0.425998
1005168285,0.596146
378322798,0.224376
1320043353,0.782893
-1175343166,-0.697074
235508149,0.139675
1267017718,0.751444
-1369687887,-0.812336
-790371062,-0.468754
-795441331,-0.471761
266099710,0.157819
212874377,0.126252
-182978094,-0.108521
811212645,0.481115
765617030,0.454073
450498273,0.267182
-316754406,-0.187861
343962109,0.203997
192595598,0.114225
-240640071,-0.142719
49308130,0.029244
1395660565,0.827740
312773910,0.185500
803159825,0.476339
1337247018,0.793096
916596397,0.543616
360857374,0.214018
-745356055,-0.442057
-1559549966,-0.924940
-122013499,-0.072364
1562502310,0.926690
318540097,0.188920
710038074,0.421110
438199645,0.259888
-490404434,-0.290850
-61545447,-0.036501
-160396286,-0.095128
-1144044427,-0.678511
-35083722,-0.020807
-1263882895,-0.749585
